à		Vit, I, E
e ấp		Vit
đánh vận động		Vit
điệp trùng		Aa
cát-mi		Np
chặt chịa		Aa
chưa chừng		Ja
giảng nghĩa		Vt
khuynh loát		Vit
giá trị thặng dư		Na
khô không khốc		Aa
bít		Nu, Vt
củ khỉ		Nc, Ng
ghê		Vt, Vim, Vtim, Aa
cờ lông công		Nc, Ng
chủ toạ		Nc, Ng, Vt
chuông		Nc, Ng
cứu thương		Na, Vit
đặc khu kinh tế		Nc, Ng
kinh tuyến gốc		Nc, Ng
kính nhi viễn chi		Vit
dặn dò		Vt
cực lạc		Aa
dung thân		Vit
găng trâu		Nc
cỏm rỏm		Aa
cảnh ngộ		Na
đăm chiêu		Na, Vit, Aa
đứt ruột đứt gan		Aa
đương triều		Nl
lỏng cha lỏng chỏng		Aa
khiếp vía kinh hồn		Aa
cara		Np
bổ ngữ		Na
dưỡng thân		Vit
dơ dáng dại hình		X
cầu hoà		Vit
choáng		Na, Aa
điện khí hoá		Vt
giảo quyệt		Aa
khiêm nhường		Aa
phúc bất trùng lai		X
lười chảy thây		Aa
đà đận		Vit
đè bẹp		Vt
đương thì		Aa
danh từ		Na
chỏn hỏn		An
chông		Nc, Ng
giải đáp		Vt
ngân hàng dữ liệu		Nc, Ng
đường xương cá		Nc, Ng
hình nhi thượng		Na
củ ấu		Nc, Ng
bịnh		Na
chò chỉ		Nc, Ng
hoang đường		Aa
cu xanh		Nc, Ng
choang		Vt, Aa
đại chúng		Nc, Ng, Aa
đổi trắng thay đen		Vit
giấy vệ sinh		Nc, Ng
huyết áp thấp		Na
động địa kinh thiên		Aa
dao độ		Na
đề cập		Vt
giao tranh		Vt
dư vị		Na
cà là mèng		Aa
chen chúc		Vit
đánh khơi		Vit
hướng dương		Nc, Ng
giả câm giả điếc		Vit
khéo mồm khéo miệng		Aa
dẩu		Vt
bừa lia		Nc, Ng
chữ cái		Nc, Ng
hoà thượng		Ng
con rạ		Nc, Ng
dã ngoại		Aa
chữa chạy		Vit
động phòng		Na, Vit
hoàng thượng		Nc, Ng
ghi xương khắc cốt		Vit
khoa học người máy		Na
cú vọ		Nc, Ng
chăm		Vt, Aa
giác độ		Na
du lãm		Vit
cày vỡ		Vit
chiêu		Nc, Vt, Aa
chững chạc		Aa
đường lối quần chúng		Na
đánh điểm diệt viện		Vit
nghiên cứu sinh		Nc, Ng
hồn xiêu phách lạc		Vitim
cát bá		Nc
cực khổ		Aa
đội quân nhạc		Nc, Ng
dền cơm		Nc, Ng
bí		Nc, Aa
dự phòng		Vt
động cơ vĩnh cửu		Nc, Ng
gia nghiệp		Na
khẩu đội trưởng		Nc, Ng
máy bay tiêm kích		Nc, Ng
dưa		Nc, Ng
choa		Pp
đa giác		Nc
dắt díu		Vit
chèn lấn		Vt
chễm chện		Aa
đề phòng		Vt
đỏ quành quạch		Aa
khuynh diệp		Nc, Ng
giấu đầu lòi đuôi		X
khung hình phạt		Nc, Ng
của nổi		Nc, Ng
chủ lực		Na
dung dịch keo		Nc, Ng
dư dật		Aa
chất dẻo		Nc, Ng
cáng đáng		Vt
công chính		Na
giải phiền		Vit
kẻ cắp gặp bà già		X
khuynh hướng		Na
nao		Na, Vt, Aa
dãy		Nc, Nu
chế áp		Vt
đồng trinh		Aa
cua biển		Nc, Ng
chấm câu		Vit
gãy gọn		Aa
giáo hoàng		Nc, Ng
hội thẩm nhân dân		Nc, Ng
đa chương trình		Na
mẹ tròn con vuông		X
cuộc		Nt, Vit
cấm chỉ		Vit
cung thánh		Nc
đài khí tượng		Nc, Ng
chút ít		Nn
chậm rãi		Aa
gia chánh		Na
giàu nứt đố đổ vách		X
đánh đu với tinh		X
một công đôi việc		X
thiên kinh địa nghĩa		Np
cố lão		Nc, Ng
để bụng		Vit
điều binh khiển tướng		Vit
du canh		Vit
chua ngọt		Aa
chánh tổng		Nc, Ng
đơm đó ngọn tre		X
gian thương		Nc, Ng
khuỳnh tay ngai		Vit
giấy chứng minh		Nc, Ng
dẫn lộ		Vit
của chìm		Nc, Ng
dĩ hoà vi quí		X
kilooat-giờ		Nu
câu đầu		Nc
cắt họng		Aa
dược phòng		Nc, Ng
giành giật		Vt
đồng hội đồng thuyền		X
giao thông hào		Nc, Ng
sốt xuất huyết		Na
cù cưa		Vit
cùng đồ		Na
điện báo viên		Nc, Ng
đèn bán dẫn		Nc, Ng
dành dành		Nc, Ng
chiu chíu		Vit
điệp khúc		Na
đoàn kết một chiều		Vit
hai bàn tay trắng		X
thậm cấp chí nguy		Aa
macma		Np
bực tức		Vitim
đăng bộ		Vt
đường sinh		Nc, Ng
cọt kẹt		Aa
bổn phận		Na
chợp chờn		Vit
hiệu trưởng		Nc, Ng
lương duyên		Na
ham thanh chuộng lạ		Vitim, đg
tiếng địa phương		Na
củ não		Nc, Ng
chị em		Nc, Ng
đổi chác		Vt
gli-xe-rin		Np
duy danh		Aa
chủ nghĩa dada		Na
đồng phục		Nc, Ng, Aa
đất lề quê thói		Np
lập trình viên		Nc, Ng
liên gia trưởng		Nc, Ng
dã man		Aa
cuốc bộ		Vit
cơ chỉ		Ng, Aa
đồng huyết		Aa
hậu duệ		Ng
chà xát		Vit
chợ chiều		Nc, Ng
đi ngang về tắt		Vit
lương hướng		Na
hiệp thương		Vit
không biết chừng		X
dao mổ		Nc, Ng
ca-líp		Np
di hài		Nc, Ng
già kén kẹn hom		X
dư thừa		Aa
cờ người		Nc, Ng
đại khánh		Na
đường huyết		Na
đồng tâm nhất trí		Vit
đồng hồ nguyên tử		Nc, Ng
nhập nhà nhập nhằng		Aa
danh ca		Nc, Ng
dân chủ		Na, Aa
đại gia		Nc, Ng
đinh khuy		Nc, Ng
cổ viên		Nc, Ng
chình ình		Aa
giao hợp		Vit
giăng gió		Vit
đàn gảy tai trâu		X
khâm thiên giám		Nc, Ng
fu la		Np
cẩm bào		Nc, Ng
chàng		Nc, Ng
đài nguyên		Ng
di vật		Nc, Ng
công cán		Na, Vit
đạp lôi		Ng
giải nghĩa		Vt
đặc quyền ngoại giao		Na
hiệu thính viên		Nc, Ng

dơn		Nc
dầm mưa dãi nắng		X
dưỡng trấp		Ng
giày batket		Nc, Ng
coulomb		Np
choèn choèn		An
đương chức		Aa
giáo giới		Ng
nấu sử xôi kinh		Vit
gương vỡ lại lành		X
đại lượng tỷ lệ nghịch		Na
cổ lỗ sĩ		Aa
chành		Vt
giao duyên		Na, Vit
dao trổ		Nc, Ng
diesel		Np
chưởng bạ		Na
gác chuông		Nc, Ng
hứa hươu hứa vượn		Vit
điều hơn lẽ thiệt		Np
lụng thà lụng thụng		Aa
khai sơn phá thạch		Vit
cơ bẩm		Nc, Ng
đề nghị		Na, Vt
hạ giới		Na
cầu máng		Nc, Ng
chỏng lỏn		Aa
đói nghèo		Aa
đinh thuyền		Nc, Ng
giấu đầu hở đuôi		X
lắm sãi không ai đóng cửa chùa		X
phosphorit		Np
cà rỡn		Vit
cậy cục		Vit
gi lê		Nc, Ng
cuaroa		Np
chòm sao		Nc, Ng
cuồng điên		Aa
điển hình hoá		Vt
đồng nghiệp		Nc, Ng, Aa
ngậm cười chín suối		X
lừng khà lừng khừng		Aa
lông bông lang bang		Aa
cơm bữa		Nc, Ng
choái		Nc, Ng
côn trùng học		Na
da thuộc		Nc, Ng
chết xác		Aa
cho hay		X
đội quân thứ năm		Nc, Ng
hộ pháp cắn trắt		X
động cơ đốt trong		Nc, Ng
nhấp nha nhấp nháy		Vit
cầm tù		Vit
cá chát		Nc, Ng
duyệt binh		Vit
đầu mẩu		Nc
cotang		Np
bùi		Nc, Ng, Aa
chồng chéo		Vit
giết thì giờ		Vit
hiệu ứng lồng kính		Na
máy bay lên thẳng		Nc, Ng
quy hoạch đô thị		Na
dao bào		Nc, Ng
đại hàn		Na
giấp cá		Nc, Ng
địa vật lí		Na
con heo		Nc, Ng
chĩnh chện		Aa
giảng hoà		Vit
diễu võ dương oai		X
gối đất nằm sương		X
giải phóng quân		Nc, Ng
dăn dúm		Aa
cà mèng		Aa
chễm chệ		Aa
công xưởng		Nc, Ng
duy lí		Aa
chừa		Vt
cu gầm ghì		Nc, Ng
khai khoáng		Vit
hang hùm miệng rắn		X
mồm miệng đỡ chân tay		X
gương tầy liếp		Na
cườm		Nc, Vt
chè đen		Nc, Ng
formaldehyd		Np
đòn vọt		Nc, Ng
coóc-ti-don		Np
dinh dưỡng		Na, Vit, Aa
đủ lông đủ cánh		Aa
giờ chính thức		Nu
tô son điểm phấn		Vit
khu phi quân sự		Nc, Ng
cuộn		Nc, Nu, Vt
các-bon		Np
chần chừ		Vit
găm giữ		Vt
dầu máy		Nc, Ng
chè hoa cau		Nc, Ng
cống phẩm		Nc, Ng
gia hương		Na
khập khiễng		Aa
hương trưởng		Nc, Ng
kinh tế chính trị học		Na
dị đoan		Na, Vit
cao cấp		Aa
đại bằng		Nc
đậu ván		Nc, Ng
dân tình		Na
con dì con già		Nc, Ng
diện tích phụ		Na
ê-phê-đrin		Np
hiêng hiếng		Aa
điều tiết dòng chảy		Vit
màu da		Nc, Ng
dại dột		Aa
chất bốc		Nc, Ng
đại phú		Aa
du xuân		Vit
bợm		Nc, Ng, Aa
dấy binh		Vit
giải ngân		Vit
khỏi phải nói		X

hiện thực khách quan		Na
dướn		Vt
chủ não		Na
chủ định		Na
giờ khắc		Nu
đánh vần		Vit
cường bạo		Aa
đạt lý thấu tình		Aa
giảng đường		Nc, Ng
lên xe xuống ngựa		X
khuếch trương		Vt
giáo dục phổ thông		Na
cốt mạc		Nc
cầm bằng		X
đâm ba chẻ củ		Vit
gây gổ		Vit
bọn		Ng
chạc		Nc, Vt
dây chằng		Nc, Ng
giêng hai		Nu
khôi nguyên		Na
nhiệt độ Fahrenheit		Nu
hình học không gian		Na
bút đàm		Vit
chè hột		Nc, Ng
đèn măng sông		Nc, Ng
đất sét		Nc, Ng
cuộc chiến		Nc, Ng
đại thắng		Na, Vit
đủng đa đủng đỉnh		Aa
gái giang hồ		Nc, Ng
khí thiên nhiên		Nc, Ng
ỏn a ỏn ẻn		Aa
javel		Np
cố nhân		Nc, Ng
đại đồng		Aa
đi giải		Vit
cấn		Ng, Vt
chút chít		Nc
công đường		Nc, Ng
giáo phái		Nc, Ng
liễu yếu đào thơ		Np
nội công ngoại kích		X
nano-		X
doanh		Nc
cào bằng		Vit
đãi bôi		Aa
diễn văn		Nc, Ng
commăng		Np
cơ ngơi		Na
dây khoá kéo		Nc, Ng
giỏi giang		Aa
lão nông tri điền		Nc, Ng
nhiệt độ không khí		Nu
dậm dật		Vit
dạng bản		Na
dịch bệnh		Na
gẫy góc		Aa
dàn trải		Vit, Aa
chân rết		Nc, Ng
chứng thực		Vt
giao phối		Na, Vit
giập giạp		Vit
mắt thấy tai nghe		X
nhùng nhà nhùng nhằng		Vit, Aa
cá tra		Nc, Ng
chăm bón		Vt
chói lói		Aa
giải chức		Vit
doá		Vit
cơm chim		Nc, Ng
ganh ghét		Vt
điều khiển học kĩ thuật		Na
mạch điện nhiều pha		Nc, Ng
máy điều hoà nhiệt độ		Nc, Ng
dẫn dắt		Vt
diệt dục		Vit
cố công		Vtv
đáng giá		Aa
dịu ngọt		Aa
cầm bờ		Aa
chớ có trách		X
khác máu tanh lòng		X
giải pháp		Na
lăng nhăng lít nhít		Aa
điều hoà không khí		Vit
dào dạt		Vit, Aa
cần kíp		Aa
cỏ gianh		Nc, Ng
đầu tầu		Nc, Na
cư tang		Vit
con chạy		Nc, Ng
đồng tác giả		Na
giáp binh		Ng
mặt vuông chữ điền		Nc, Ng
hình thái xã hội - kinh tế		Na
lan can		Nc, Ng
dàn cảnh		Vit
dêrô		Np
đánh giá		Vt
đầu tư		Vt
cơ thắt		Nc, Ng
công điền		Nc, Ng
chùng chình		Vit
hây hây		Aa
hấp ha hấp háy		Vit
miệng na mô, bụng bồ dao găm		X
dao cầu		Nc, Ng
biểu lộ		Vt
chẳng là		X
giữ chân		Vt
domino		Np
công ơn		Na
cô chiêu		Nc, Ng
giáp chiến		Vit
nhấp nha nhấp nhổm		Aa
hành tinh nhân tạo		Ng
quang minh chính đại		Aa
dăn deo		Aa
cướp cò		Vit
đa nghi		Aa
gắng gỏi		Vtv
cuộc sống		Na
chuột bạch		Nc, Ng
đường hoàng		Aa
giao phong		Vit
hao binh tổn tướng		Vit
gió chiều nào che chiều ấy		X
kuna		Np
cận thị		Aa
chất chứa		Vt
hải đăng		Nc
duyệt		Vt
cù rù		Aa
chồi		Nc
giăm bông		Nc, Ng
không trung		Nc, Ng
giá trị tuyệt đối		Na
nhũn như con chi chi		X
Cựu ước		Np
chườm		Vt
đại số học		Na
ganh ghẻ		Vit
dân tộc đa số		Na
đa nguyên		Na, Aa
điều phối		Vt
giầu không		Nc, Ng
phô trương		Vt
máy cắt gọt kim loại		Nc, Ng
gập gà gập ghềnh		Aa
cóm róm		Aa
cày đảo		Vit
gián cách		Na
đau xót		Aa
bịt		Vt
chương		Nc, Vit
đường phên		Nc, Ng
lời ong tiếng ve		Np
huynh trưởng		Nc
không ít thì nhiều		X
lỗ vốn		Vit
cello		Np
choạng		Vt
đôi hồi		Vit
cung cầu		Vit
cực lực		Jd
đinh rệp		Nc, Ng
hành pháp		Vit
khuynh thành		Vit
giải cấu tương phùng		Vit
kị binh thiết giáp		Nc, Ng
di tản		Vit
chốc lát		Nu
chủ chiến		Vit
giáo giở		Vit
cát		Nc, Ng
bồng		Nc, Vt, Aa
ghe bản lồng		Nc, Ng
khôi phục		Vt
nói trống không		Vit
máy bay trực thăng		Nc, Ng
nằm vạ		Vit
cư xá		Nc, Ng
chú mày		Pp
đối chứng		Na
đau yếu		Vit
đá dăm		Nc, Ng
đậu phụng		Nc, Ng
gà giò		Nc, Ng
nghiên cứu viên		Nc, Ng
khấu đầu khấu đuôi		Vit
ngày thứ bảy cộng sản		Na
địa vật		Ng
cá trê		Nc, Ng
chết chóc		Vit
giải hoà		Vit
cửa tử		Na
bỏ mối		Vit
chối bỏ		Vt
khành khạch		Aa
mĩ thuật công nghiệp		Nc, Ng
lươn ngắn lại chê chạch dài		X
nấu ăn		Vit
cổ xưa		Aa
dài dằng dặc		An
cô giáo		Nc, Ng
gớm ghiếc		Aa
dân ca		Na
dưỡng đường		Nc, Ng
giãy chết		Vit
khinh kị binh		Nc, Ng
nhi nữ thường tình		X

dút dát		Vit
cầm chầu		Vit
chốc mòng		Vit
đóng góp		Vt
dẫu		Cc
ca-li		Np
cùi chỏ		Nc
giao thông		Na
minh sơn thệ hải		Vit
ngày xửa ngày xưa		Nl
phòng thường trực		Nc, Ng
dơ duốc		Aa
coi sóc		Vt
đại châu		Ng
giở chứng		Vit
cộng		Nc, Na, Vt
chèo		Nc, Na, Vt
công chính		Na, Aa
hộp chữa cháy		Nc, Ng
hồng y giáo chủ		Nc, Ng
khẩu thiệt vô bằng		X
dặt dìu		Aa
chín mòm		Aa
cô tịch		Aa
đời kiếp		Na
cua thịt		Nc, Ng
cấm kị		Vit
di chỉ		Nc, Ng
giấy ráp		Nc, Ng
khu vực ảnh hưởng		Nc, Ng
ông tơ bà nguyệt		Na

đan lát		Vit
chữa trị		Vt
chao ôi		E
đôi chối		Vit
củi lửa		Nc, Ng
coi		Vt
đại bại		Vit
giật giọng		Aa
quy hoạch vùng		Na
nghèo rớt mùng tơi		Aa
mằn mặn		Aa
danh tác		Nc, Ng
châu mục		Nc
gây sự		Vit
giấc điệp		Na
chuẩn thứ		Na
bí ử		Nc, Ng
găng tây		Nc
giấy bao gói		Nc, Ng
ngày một ngày hai		X
hình lập phương		Nc
đàn tam		Nc, Ng
cỏ xước		Nc, Ng
chấn động		Vt
gia chính		Na
đấu thuỷ		Vit
dạy		Vt
chíp		Nc, Ng
đường đoản trình		Nc, Ng
giàng giàng		Nc
thừa sống thiếu chết		X
nón dấu		Nc, Ng
đoàn tụ		Vit
cođein		Np
cưới hỏi		Vit
gán ghép		Vt
da bát		Nc, Ng
chế bản		Nc
giấy moi		Nc, Ng
gia nghiêm		Na
kẻ tám lạng người nửa cân		X
nghiên cứu khả thi		Na, Vit
mã tấu		Nc, Ng
cầu thị		Vit
cầu phúc		Vit
đại pháo		Nc, Ng
hướng đạo sinh		Nc, Ng
Cửa Phật		Na
đỏ bừng		Aa
gai góc		Nc, Ng, Aa
khẩu phật tâm xà		X
không tiền khoáng hậu		Aa
không đầu không đũa		Aa
fo-mon		Np
dân biểu		Nc, Ng
cười khà		Vit
giặt giũ		Vt
dật dờ		Vit, Aa
cửa mạch		Nc, Ng
đi đời		Vit
giày đinh		Nc, Ng
khôn ba năm dại một giờ		X
nguyên liệu chính		Nc, Ng
ma tuý		Nc, Ng
cút kít		Nc, Ng
cá trích		Nc, Ng
chức phận		Na
kết toán		Vit
cù lao		Na
cử động		Nc, Ng, Vt
gia bội		Vit
điều nặng tiếng nhẹ		Np
một nắng hai sương		X
phương trưởng		Aa
mật vụ		Nc, Ng
đầu gấu		Nc, Ng
chủ soái		Nc, Ng
gây hấn		Vit
giữ giàng		Vt
ca bin		Nc, Ng
đầu dây mối nhợ		X
gắng gượng		Vt
đại lượng tỉ lệ thuận		Na
thầy thuốc nhân dân		Nc, Ng
phân số thập phân		Na
kết cấu		Na
chai sạn		Aa
chửi mắng		Vt
gacđiêng		Np
cua đá		Nc, Ng
chủ sự		Nc, Ng
giả dối		Aa
he-mô-glô-bin		Np
năm xung tháng hạn		X
hydrochlorur		Np
lạy ông tôi ở bụi này		X
đa tiết		Aa
cu gáy		Nc, Ng
đằng hắng		Vit
dãn nở		Vit
dang dở		Aa
bức		Nc, Nt, Aa
ghép		Vt, Aa
kính hiển vi điện tử		Nc, Ng
giây giướng		Vt

làu bàu		Vit
cơ may		Na
chủ nhiệm		Nc, Ng
giao phó		Vt
cửa quyền		Na, Aa
ca ri		Nc
di hại		Na, Vit
hợp tình hợp lý		X
kì phùng địch thủ		Np
lí thuyết tập hợp		Na
tan vỡ		Vit
dưa hấu		Nc, Ng
cúng cơm		Vit
đồng hành		Vit
giáp bảng		Na
danh dự		Na
cồ cộ		Nc, Ng
diệu võ dương oai		Vit
máy bay khu trục		Nc, Ng
khóc đứng khóc ngồi		Vit
khủng hoảng kinh tế		Na
lí luận		Na, Vit
cộng sản		Na, Aa
chuôi		Nc
giấy báo		Nc, Ng
cưu mang		Vt
chảu		Vt
chạng		Vt
gây chuyện		Vit
ngồi lê đôi mách		Vit
kênh truyền hình		Nc, Ng

du côn		Nc, Ng, Aa
dừa xiêm		Nc, Ng
cố thây		Aa
gánh gồng		Vit
duốc cá		Nc, Ng
cười vỡ bụng		X
đề khởi		Vit
giấy đánh máy		Nc, Ng
lấy thúng úp voi		X
khí tượng nông nghiệp		Na
líu díu		Aa
cấu kiện		Ng
chợ xanh		Nc, Ng
hát ghẹo		Nc
gia pháp		Na
cố kết		Vit
chánh		Nc
giôn giốt		Aa
giáng hương		Nc
kinh tế học chính trị		Na
nửa nạc nửa mỡ		Aa
đất màu		Nc, Ng
con rối		Nc, Ng
dây điện		Nc, Ng
gạch rỗng		Nc, Ng
hao tiền tốn của		X
cười		Vit
cương ngạnh		Aa
không trách		Cc
kim loại tái sinh		Nc, Ng
không một tấc đất cắm dùi		X
láu ta láu táu		Aa
dâu con		Nc, Ng
chiến xa		Nc, Ng
choe choé		Aa
lắp ghép		Vt
can-ke		Vit
chanh		Nc, Ng
gilê		Np
khi không		Jt, Jr
không đâu vào đâu		Aa
pháo thăng thiên		Nc, Ng
đầu mấu		Nc
dạ tổ ong		Nc, Ng
chợ trời		Nc, Ng
chống chèo		Vit
đao to búa lớn		X
cục diện		Na
choại		Vt
gằm ghè		Vit
hình thức chủ nghĩa		Na, Aa
khuynh gia bại sản		Vit
hợp kim trung gian		Nc, Ng
địa vật lý		Na
côsin		Np
chính biến		Na
giáng hoạ		Vit
cẩm tú		Na
cá kiếm		Nc, Ng
đó đây		Pd
hàng không		Na
yên giấc ngàn thu		X

cứu vãn		Vt
duy lý		Aa
cối xay		Nc, Ng
đánh hơi		Vit
khôi hài		Vit, Aa
dơ bẩn		Aa
diêm sinh		Nc, Ng
gan lì tướng quân		X
huyên truyền		Vt
nguồn cấp điện liên tục		Nc, Ng
tha phương cầu thực		Vit
lăn tăn		Aa
đào sâu		Vit
điện từ trường		Na
giàn giáo		Nc, Ng
dè sẻn		Vt
cảm ứng		Na, Vit
búi		Nc, Nu, Vt, Aa
khinh binh		Nc, Ng
đường trung trực		Nc, Ng
linh tinh lang tang		Aa
lưu thông hàng hoá		Vit
duy mĩ		Aa
chia sớt		Vt
cùng đinh		Nc, Ng
hành khách		Ng
dao cạo		Nc, Ng
chế ước		Vt
gần gũi		Vt, An
giặc giã		Nc, Ng
say hoa đắm nguyệt		Vit
điều khiển học kỹ thuật		Na
luận bàn		Vt
dẫn thân		Vit
công nha		Nc
điều giải		Vit
da sần		Nc, Ng
cải làn		Nc, Ng
chè chén		Vit
gầy gò		Aa
phấp phỏng		Aa
tiền lương danh nghĩa		Na
tua tủa		Aa
đầu vào		Na
cấp tiến		Aa
dịch nhầy		Nc, Ng
giăng hoa		Vit
dù sao		X
cáo lỗi		Vit
đánh gục		Vt
giải ách		Vit
phủ định của phủ định		Na
nem công chả phượng		Nc, Ng
ngúng nga ngúng nguẩy		Vit
đạo Eslam		Na
dinh dính		Aa
điện hoá học		Na
khấp khởi		Vitim
dâm tà		Na
chè bà cốt		Nc, Ng
đối phó		Vit
hữu xạ tự nhiên hương		X
nhũng nha nhũng nhẵng		Aa
máy bay không người lái		Nc, Ng
kruna		Np
chủ quản		Aa
chỉ mỗi tội		X
dòng giống		Nc, Ng
đánh suốt		Vit
có điều		X
chứa đựng		Vt
không khéo		Jd
hết nạc vạc đến xương		X
thái thượng hoàng		Nc, Ng
sinh cơ lập nghiệp		Vit
đầu trò		Na
dung dịch		Nc, Ng
đi chăng nữa		X
giấy bóng		Nc, Ng
củ nâu		Nc, Ng
bụm		Nc, Nu, Vt
địch hoạ		Na
khiêu khích		Vt
gà què ăn quẩn cối xay		X
không kèn không trống		Aa
ỉu xìu		Aa
chủ quan		Na, Aa
chút chít		Nc, An
giai nhân		Nc, Ng
điều luật		Na
cao nhã		Aa
chỉ thị		Na, Vit
ghẹ		Nc, Ng, Vt
hại nhân nhân hại		X
nghìn cân treo sợi tóc		X
khắc cốt ghi xương		Vit
đầu nước		Na
còn xơi		X
củ cải đường		Nc, Ng
đình giảng		Vit
đào luyện		Vit
bồn		Nc, Ng, Vit
chắc		Vt, Aa, I
ghế băng		Nc, Ng
kẻ tung người hứng		X
phòng thương mại		Nc, Ng
mầm non		Nc, Ng
dân viện		Nc, Ng
chết ngóm		Vit
chứng tích		Nc, Ng
đột xuất		Aa
dở trăng dở đèn		Aa
câu đối		Nc, Ng
đồng bạch		Nc
giục giặc		Vit
treo đầu dê bán thịt chó		X
độc hại nghề nghiệp		Na
mất tăm		Vit
đấu khẩu		Vit
dopinh		Np
giảng dạy		Vt
du mục		Vit
cận		Aa
củ cái		Nc, Ng
gậy gộc		Nc, Ng
polyethylen		Np
trứng khôn hơn rận		X
mẫn tuệ		Aa
làm tiền		Vit
chén tống		Nc, Ng
chung chạ		Vit, Aa
khoa giáp		Na
cảm mạo		Vit
chậm rì		Aa
chói lọi		Aa
giới chức		Nc, Ng
không nhiều thì ít		X
lươn ngắn chê chạch dài		X
mơn mởn		Aa
cười mát		Vit
cô liêu		Aa
gạch ốp lát		Nc, Ng
dèn dẹt		Aa, An
dãn		Vit
công cụ		Nc, Ng
đặc phái		Vit
giối già		Vit
quân chủ chuyên chế		Aa
khủng hoảng chính trị		Na
lạc quan		Aa
cung nga		Na
công điện		Nc, Ng
gắng công		Vtv
dạt dào		Vit, Aa
cấp tốc		Aa
có đi có lại		X
giếng thơi		Nc, Ng
đầu xuôi đuôi lọt		X

mạt vận		Aa
đàm tiếu		Vit
dài lưng		Aa
danh pháp		Na
khảng khái		Aa
dàn dựng		Vt
cân		Nu, Vt, Aa
đánh gió		Vit
hải giới		Na
vuốt mặt không kịp		X

ham muốn		Vt, Vim, Vtim
dạ minh sa		Nc, Ng
chứng nhận		Vt
giáo phận		Nc
dẫn đầu		Vit
bồ liễu		Nc, Na
chẳng lẽ		Ja
gạch		Nc, Ng, Vt
ngôn ngữ lập trình		Na
yên giấc nghìn thu		X

dynamo		Np
dâm thư		Nc, Ng
đêm ngày		Nl
giămbông		Nc, Ng
